#{"t_start": 1770591592.2875574, "env_id": "None"}
r,l,t
669.1,1743,1056.794508
435.1,1703,1059.276122
783.7,1701,1061.663487
754.4,5373,1068.934366
902.4,5180,1074.18905
504.3,1377,1076.466345
1047.7,3031,1079.353617
1145.6,6128,1086.648202
545.0,2147,1089.298765
441.7,1699,1091.703186
1331.7,5912,1099.207266
313.6,1136,1101.251561
574.1,1377,1101.901978
247.7,987,1104.030329
854.4,2396,1106.750787
530.4,1934,1109.274248
932.2,5884,1116.792724
667.1,1929,1119.271138
532.9,1168,1119.73781
977.9,2598,1122.401462
482.5,1319,1124.60765
850.9,2306,1127.330863
500.1,1554,1129.684833
734.5,1822,1132.13991
1052.5,5323,1137.645392
907.1,2014,1140.205127
407.2,1408,1142.361804
1917.9,6400,1150.205246
744.3,2037,1152.795029
1891.3,8974,1164.808311
201.3,1281,1165.362029
1136.1,7010,1175.010941
1663.4,6187,1182.666928
1329.4,6524,1190.453879
1822.0,3801,1195.425958
685.1,1754,1197.78161
498.0,1833,1200.050969
379.1,1304,1200.73689
1503.6,6018,1207.977401
962.5,6699,1215.875098
2178.0,8942,1227.892278
1002.7,2201,1230.453193
